Recall	Precision: exact match	F1: exact match	F0.5 exact match	Precision: exact or hpoNarrower	F1: exact or hpoNarrower	F0.5: exact or hpoNarrower	Precision: all	F1: all	F0.5: all	String/substring: HPO ↔ Phecode	String/substring: HPO ↔ ICD	SORTA: Phecode → HPO	SORTA: Phecode → ICD	PheMap: HPO ↔ Phecode	UMLS: HPO ↔ ICD	WikiMedMap: HPO → ICD
0.6628571428571428	0.09302325581395349	0.16315049226441633	0.11233778810768932	0.6434108527131783	0.6529892502288989	0.6472082924402737	0.686046511627907	0.6742524998768534	0.6812797387963129	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)		Yes + children	Yes + children
0.6719047619047619	0.09056603773584905	0.15961726547494196	0.1095170950674618	0.6490566037735849	0.6602830849594961	0.6535010717016899	0.690566037735849	0.6811076014059336	0.6867513138577416	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6752380952380952	0.08480565371024736	0.1506860839417836	0.10277993882491653	0.6219081272084807	0.6474768256076711	0.6318893889737368	0.6607773851590106	0.6679294805754199	0.6636197641895694	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes + children	Yes + children	Yes + children
0.67	0.09125475285171103	0.16063133709604915	0.1103122770429724	0.6463878326996197	0.6579821495624044	0.6509761785012117	0.688212927756654	0.6789843509420228	0.6844915560372076	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes (Strict threshold)	Yes + children	Yes + children
0.6723809523809524	0.09125475285171103	0.16069955139938732	0.11032514142245466	0.6463878326996197	0.6591282285036438	0.6514244278190037	0.688212927756654	0.6802048290252523	0.6849871671444591	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes	Yes	Yes + children	Yes + children
0.6692857142857143	0.09125475285171103	0.16061078951973173	0.11030840046933066	0.6463878326996197	0.6576375170044857	0.6508412027548696	0.688212927756654	0.6786173726719631	0.6843423257075159	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes		Yes + children	Yes + children
0.6647619047619048	0.09230769230769231	0.16210567060189668	0.11151347321333474	0.6461538461538462	0.6553258075332514	0.6497916481957621	0.6884615384615385	0.6764041902390169	0.6835873811373611	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes (Strict threshold) + children	Yes + children	Yes + children
0.6683333333333333	0.08633093525179857	0.1529099604378843	0.1045377917586333	0.6187050359712231	0.6425623491927446	0.6280321683008203	0.658273381294964	0.663265213893835	0.6602610704825521	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes + children	Yes + children	Yes + children
0.6628571428571428	0.09302325581395349	0.16315049226441633	0.11233778810768932	0.6434108527131783	0.6529892502288989	0.6472082924402737	0.686046511627907	0.6742524998768534	0.6812797387963129	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes (Strict threshold)	Yes + children	Yes + children
0.6654761904761904	0.09302325581395349	0.16322955068073144	0.11235277565622863	0.6434108527131783	0.6542575318512878	0.6477060787795536	0.686046511627907	0.6756048097998648	0.6818313376554643	Yes + children	Yes + children	Yes (Strict threshold) + children		Yes	Yes + children	Yes + children
0.6619047619047619	0.09302325581395349	0.1631216077453425	0.11233230968159043	0.6434108527131783	0.6525267950567009	0.6470264934831865	0.686046511627907	0.6737594479132435	0.6810782978440687	Yes + children	Yes + children	Yes (Strict threshold) + children			Yes + children	Yes + children
0.67	0.09022556390977443	0.15903471466719415	0.10910867441103028	0.6466165413533834	0.6581006224658786	0.6511617394448965	0.6917293233082706	0.680691292584617	0.6872714298456872	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold) + children	Yes + children	Yes + children
0.6730952380952381	0.08450704225352113	0.15016134243992263	0.10241912499939618	0.6197183098591549	0.6453048763089565	0.6297055285784292	0.6619718309859155	0.6674871959750526	0.6641670032431309	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes + children	Yes + children	Yes + children
0.6680952380952381	0.09090909090909091	0.16004106541949467	0.10989785687429504	0.6439393939393939	0.655794949628261	0.6486298031946602	0.6893939393939393	0.6785775028169314	0.6850262479020994	Yes + children	Yes + children	Yes + children	Yes (Strict threshold) + children	Yes (Strict threshold)	Yes + children	Yes + children
